方法,检零件1,检零件2,检成品,处理方式,期望成本,期望利润,市场次品率,利润标准差,情境,归一化_利润,归一化_稳定性,归一化_声誉,得分_激进增长型,得分_稳健品牌型
M15,检,检,检,厂内拆解,43.250,12.750,0.000,0.000,4,1.000,1.000,1.000,1.000,1.000
M11,检,不检,检,厂内拆解,46.453,9.547,0.000,0.000,4,0.920,1.000,1.000,0.952,0.976
M16,检,检,检,厂内报废,47.500,8.500,0.000,0.000,4,0.894,1.000,1.000,0.936,0.968
M07,不检,检,检,厂内拆解,47.547,8.453,0.000,0.000,4,0.893,1.000,1.000,0.936,0.968
M13,检,检,不检,退货拆解,48.250,7.750,0.200,12.000,4,0.875,0.200,0.590,0.683,0.559
M12,检,不检,检,厂内报废,50.391,5.609,0.000,0.000,4,0.822,1.000,1.000,0.893,0.946
M03,不检,不检,检,厂内拆解,50.984,5.016,0.000,0.000,4,0.807,1.000,1.000,0.884,0.942
M14,检,检,不检,退货报废,52.500,3.500,0.200,12.000,4,0.769,0.200,0.590,0.619,0.527
M08,不检,检,检,厂内报废,55.859,0.141,0.000,0.000,4,0.685,1.000,1.000,0.811,0.906
M04,不检,不检,检,厂内报废,58.594,-2.594,0.000,0.000,4,0.617,1.000,1.000,0.770,0.885
M09,检,不检,不检,退货拆解,60.203,-4.203,0.360,14.400,4,0.577,0.040,0.262,0.406,0.290
M05,不检,检,不检,退货拆解,61.297,-5.297,0.360,14.400,4,0.549,0.040,0.262,0.390,0.282
M10,检,不检,不检,退货报废,64.141,-8.141,0.360,14.400,4,0.478,0.040,0.262,0.347,0.260
M06,不检,检,不检,退货报废,69.609,-13.609,0.360,14.400,4,0.342,0.040,0.262,0.265,0.219
M01,不检,不检,不检,退货拆解,75.672,-19.672,0.488,14.996,4,0.190,0.000,0.000,0.114,0.057
M02,不检,不检,不检,退货报废,83.281,-27.281,0.488,14.996,4,0.000,0.000,0.000,0.000,0.000
