方法,检零件1,检零件2,检成品,处理方式,期望成本,期望利润,市场次品率,利润标准差,情境,归一化_利润,归一化_稳定性,归一化_声誉,得分_激进增长型,得分_稳健品牌型
M01,不检,不检,不检,退货拆解,37.337,18.663,0.271,2.667,1,1.000,0.000,0.000,0.600,0.300
M09,检,不检,不检,退货拆解,37.502,18.498,0.190,2.354,1,0.978,0.117,0.299,0.670,0.448
M13,检,检,不检,退货拆解,38.778,17.222,0.100,1.800,1,0.808,0.325,0.631,0.676,0.592
M05,不检,检,不检,退货拆解,39.066,16.934,0.190,2.354,1,0.770,0.117,0.299,0.545,0.386
M03,不检,不检,检,厂内拆解,39.222,16.778,0.000,0.000,1,0.749,1.000,1.000,0.850,0.925
M10,检,不检,不检,退货报废,39.267,16.733,0.190,2.354,1,0.743,0.117,0.299,0.529,0.378
M11,检,不检,检,厂内拆解,39.798,16.202,0.000,0.000,1,0.673,1.000,1.000,0.804,0.902
M02,不检,不检,不检,退货报废,40.639,15.361,0.271,2.667,1,0.561,0.000,0.000,0.337,0.168
M14,检,检,不检,退货报废,40.667,15.333,0.100,1.800,1,0.557,0.325,0.631,0.526,0.517
M07,不检,检,检,厂内拆解,41.362,14.638,0.000,0.000,1,0.465,1.000,1.000,0.679,0.839
M15,检,检,检,厂内拆解,41.444,14.556,0.000,0.000,1,0.454,1.000,1.000,0.672,0.836
M12,检,不检,检,厂内报废,41.564,14.436,0.000,0.000,1,0.438,1.000,1.000,0.663,0.831
M04,不检,不检,检,厂内报废,42.524,13.476,0.000,0.000,1,0.310,1.000,1.000,0.586,0.793
M06,不检,检,不检,退货报废,42.560,13.440,0.190,2.354,1,0.305,0.117,0.299,0.267,0.246
M16,检,检,检,厂内报废,43.333,12.667,0.000,0.000,1,0.203,1.000,1.000,0.522,0.761
M08,不检,检,检,厂内报废,44.856,11.144,0.000,0.000,1,0.000,1.000,1.000,0.400,0.700
