方法,检零件1,检零件2,检成品,处理方式,期望成本,期望利润,市场次品率,利润标准差,情境,归一化_利润,归一化_稳定性,归一化_声誉,得分_激进增长型,得分_稳健品牌型
M05,不检,检,不检,退货拆解,40.519,15.481,0.190,3.923,5,1.000,0.179,0.460,0.728,0.538
M07,不检,检,检,厂内拆解,40.642,15.358,0.000,0.000,5,0.992,1.000,1.000,0.995,0.998
M03,不检,不检,检,厂内拆解,43.235,12.765,0.000,0.000,5,0.822,1.000,1.000,0.893,0.946
M06,不检,检,不检,退货报废,44.012,11.988,0.190,3.923,5,0.770,0.179,0.460,0.590,0.469
M08,不检,检,检,厂内报废,44.136,11.864,0.000,0.000,5,0.762,1.000,1.000,0.857,0.929
M01,不检,不检,不检,退货拆解,45.580,10.420,0.352,4.776,5,0.667,0.000,0.000,0.400,0.200
M04,不检,不检,检,厂内报废,46.296,9.704,0.000,0.000,5,0.620,1.000,1.000,0.772,0.886
M13,检,检,不检,退货拆解,47.093,8.907,0.100,3.000,5,0.568,0.372,0.716,0.558,0.568
M15,检,检,检,厂内拆解,48.204,7.796,0.000,0.000,5,0.495,1.000,1.000,0.697,0.849
M02,不检,不检,不检,退货报废,48.642,7.358,0.352,4.776,5,0.466,0.000,0.000,0.280,0.140
M14,检,检,不检,退货报废,48.981,7.019,0.100,3.000,5,0.444,0.372,0.716,0.484,0.531
M16,检,检,检,厂内报废,50.093,5.907,0.000,0.000,5,0.371,1.000,1.000,0.623,0.811
M11,检,不检,检,厂内拆解,53.019,2.981,0.000,0.000,5,0.179,1.000,1.000,0.507,0.754
M09,检,不检,不检,退货拆解,54.130,1.870,0.280,4.490,5,0.106,0.060,0.205,0.116,0.132
M12,检,不检,检,厂内报废,54.630,1.370,0.000,0.000,5,0.073,1.000,1.000,0.444,0.722
M10,检,不检,不检,退货报废,55.741,0.259,0.280,4.490,5,0.000,0.060,0.205,0.053,0.100
