方法,检零件1,检零件2,检成品,处理方式,期望成本,期望利润,市场次品率,利润标准差,情境,归一化_利润,归一化_稳定性,归一化_声誉,得分_激进增长型,得分_稳健品牌型
M02,不检,不检,不检,退货报废,34.321,21.679,0.143,3.497,6,1.000,0.000,0.000,0.600,0.300
M10,检,不检,不检,退货报废,34.671,21.329,0.098,2.966,6,0.948,0.152,0.316,0.662,0.457
M04,不检,不检,检,厂内报废,36.157,19.843,0.000,0.000,6,0.728,1.000,1.000,0.837,0.918
M06,不检,检,不检,退货报废,36.654,19.346,0.098,2.966,6,0.654,0.152,0.316,0.486,0.368
M14,检,检,不检,退货报废,36.759,19.241,0.050,2.179,6,0.638,0.377,0.649,0.588,0.564
M12,检,不检,检,厂内报废,36.915,19.085,0.000,0.000,6,0.615,1.000,1.000,0.769,0.885
M09,检,不检,不检,退货拆解,37.613,18.387,0.098,2.966,6,0.512,0.152,0.316,0.401,0.326
M13,检,检,不检,退货拆解,37.706,18.294,0.050,2.179,6,0.498,0.377,0.649,0.504,0.522
M01,不检,不检,不检,退货拆解,38.599,17.401,0.143,3.497,6,0.366,0.000,0.000,0.219,0.110
M05,不检,检,不检,退货拆解,38.820,17.180,0.098,2.966,6,0.333,0.152,0.316,0.293,0.272
M08,不检,检,检,厂内报废,38.898,17.102,0.000,0.000,6,0.321,1.000,1.000,0.593,0.796
M16,检,检,检,厂内报废,39.391,16.609,0.000,0.000,6,0.248,1.000,1.000,0.549,0.774
M11,检,不检,检,厂内拆解,39.857,16.143,0.000,0.000,6,0.179,1.000,1.000,0.507,0.754
M15,检,检,检,厂内拆解,40.338,15.662,0.000,0.000,6,0.108,1.000,1.000,0.465,0.732
M03,不检,不检,检,厂内拆解,40.434,15.566,0.000,0.000,6,0.093,1.000,1.000,0.456,0.728
M07,不检,检,检,厂内拆解,41.064,14.936,0.000,0.000,6,0.000,1.000,1.000,0.400,0.700
